id,entity,child_sku_id,style_id,style_name,title,gender,size,category,material,color,cost_amount,currency_code,selling_price,mrp_price,gst_rate_pct,amazon_title,myntra_title,myntra_product_code,amazon_sku,myntra_sku,shopify_sku,nykaa_sku,flipkart_sku,unicommerce_sku,created_at,updated_at
3520fd67-c122-4921-a8f5-fd151b4813a6,Fulton,IN100198,BL1001,Divine Depth,Silk Beige Divine Depth,F,40,Blouse,Dupion Silk,Silk Beige,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
36555dd5-6f8d-48c0-958b-e5288bfd9b99,Fulton,IN100090,BL1001,Divine Depth,Festive Pink Divine Depth,F,40,Blouse,Lurex - Thick Line,Festive Pink,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
38b50d8f-41aa-4017-83e5-c6e7eac5bbe6,Fulton,IN100169,BL1006,Modern Twist,Black Modern Twist - 38,F,38,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
39e79783-6137-4023-a75d-78ef7e33373a,Fulton,IN100110,BL1001,Divine Depth,Gulabi Divine Depth - 44,F,44,Blouse,Rayon,Gulabi,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3aabd204-5c1a-4fd2-9d7d-917c239ddbb7,Fulton,IN100066,BL1007,Charm Slope,Black Charm Slope - 36,F,36,Blouse,Rayon,Black,190.00,_,799.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3b10890f-52e5-4438-8f47-9b47b383f8dd,Fulton,IN100218,BL1001,Divine Depth,Silk Cream Divine Depth,F,46,Blouse,Dupion Silk,Silk Cream,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3b8df8be-79ba-40cd-befe-c1cd6c60340e,Fulton,IN100054,BL1001,Divine Depth,Festive Black Divine Depth,F,44,Blouse,Lurex - Thick Line,Festive Black,260.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3c2cebf4-16cf-4bb6-9670-222243d5a9ad,Fulton,IN100210,BL1005,Opulent Open,Red Opulent Open - 44,F,44,Blouse,Rayon,Red,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3ced4874-f8d7-448f-bac4-981682b80d34,Fulton,IN100145,BL1002,Graceful Pleat,Beige Graceful Pleat - 44,F,44,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3d696fd7-835e-48ba-bc00-28e896db3bc7,Fulton,IN100093,BL1001,Divine Depth,Beige Divine Depth - 50,F,50,Blouse,Rayon,Beige,190.00,_,899.00,1099.00,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
3e0bf0d2-59db-4f78-937b-fe7d617897b6,Fulton,IN100199,BL1001,Divine Depth,Silk Beige Divine Depth,F,36,Blouse,Dupion Silk,Silk Beige,220.00,_,,,0.05,,,,,,,,,,2025-08-30 07:50:45.262819+00,2025-08-30 07:50:45.262819+00
